Title,Assignee,Labels,Priority
"1.1 Install Node.js v20+ if not installed [15m]",ChetDevelopment,"Day 1,Backend",P0
"1.2 Install VS Code if not installed [15m]",ChetDevelopment,"Day 1,Setup",P0
"1.3 Install PostgreSQL (or use Docker) [1h]",ChetDevelopment,"Day 1,Database",P0
"1.4 Create database named 'mentorkhet' [30m]",ChetDevelopment,"Day 1,Database",P0
"1.5 Clone repository from GitHub [15m]",ChetDevelopment,"Day 1,Setup",P0
"1.6 Open project in VS Code [5m]",ChetDevelopment,"Day 1,Setup",P0
"1.7 Run 'npm install' in terminal [30m]",ChetDevelopment,"Day 1,Setup",P0
"1.8 Copy .env.example to .env [5m]",ChetDevelopment,"Day 1,Config",P0
"1.9 Update DB_PASSWORD in .env file [5m]",ChetDevelopment,"Day 1,Config",P0
"1.10 Update DB_DATABASE in .env file [5m]",ChetDevelopment,"Day 1,Config",P0
"1.11 Test database connection (npm run start:dev) [30m]",ChetDevelopment,"Day 1,Database",P0
"1.12 Check entities folder exists [5m]",ChetDevelopment,"Day 1,Entities",P0
"1.13 Create User entity class [1h]",ChetDevelopment,"Day 1,Entities",P0
"1.14 Add @Entity('users') decorator [10m]",ChetDevelopment,"Day 1,Entities",P0
"1.15 Add id column with @PrimaryGeneratedColumn [15m]",ChetDevelopment,"Day 1,Entities",P0
"1.16 Add email column with @Column [10m]",ChetDevelopment,"Day 1,Entities",P0
"1.17 Add password column with @Column [10m]",ChetDevelopment,"Day 1,Entities",P0
"1.18 Add firstName, lastName columns [10m]",ChetDevelopment,"Day 1,Entities",P0
"1.19 Add role column with enum [15m]",ChetDevelopment,"Day 1,Entities",P0
"1.20 Add createdAt, updatedAt columns [10m]",ChetDevelopment,"Day 1,Entities",P0
"1.21 Create Mentor entity class [1h]",ChetDevelopment,"Day 1,Entities",P0
"1.22 Add @Entity('mentors') decorator [10m]",ChetDevelopment,"Day 1,Entities",P0
"1.23 Add userId column with @Column [10m]",ChetDevelopment,"Day 1,Entities",P0
"1.24 Add bio, title, company columns [15m]",ChetDevelopment,"Day 1,Entities",P0
"1.25 Add yearsOfExperience column [10m]",ChetDevelopment,"Day 1,Entities",P0
"1.26 Add rating, totalSessions columns [15m]",ChetDevelopment,"Day 1,Entities",P0
"1.27 Add isAvailable column [10m]",ChetDevelopment,"Day 1,Entities",P0
"1.28 Create Mentee entity class [1h]",ChetDevelopment,"Day 1,Entities",P0
"1.29 Add @Entity('mentees') decorator [10m]",ChetDevelopment,"Day 1,Entities",P0
"1.30 Add userId column with @Column [10m]",ChetDevelopment,"Day 1,Entities",P0
"1.31 Add occupation, organization columns [15m]",ChetDevelopment,"Day 1,Entities",P0
"1.32 Add goals, interests columns [15m]",ChetDevelopment,"Day 1,Entities",P0
"1.33 Save all entity files [5m]",ChetDevelopment,"Day 1,Entities",P0
"1.34 Restart server to test entities load [15m]",ChetDevelopment,"Day 1,Testing",P0
"1.35 Check database for new tables [15m]",ChetDevelopment,"Day 1,Database",P0
"1.36 Commit Day 1 work to Git [30m]",ChetDevelopment,"Day 1,Git",P0
